Mouse ID#,Sex,Tansoral Exposure,Body Weight (g),Spleen Weight (g),BALF Cell Number,BALF Protein (ug/ml),LDH Activity(milliunits/mL),TGF-b (pg/ml),IL-6 (pg/ml),TNF-a (pg/ml),Perivasculitis & Peribronchitis,Alveolitis,Total Lung Score,ANA Score Pre,ANA Score 4 wk,ANA score 8wk,ANA Score 12 wk,ENA5 (U),IgM RF (ng/ml),anti-chromatin (U),anti-SSA (U),anti-SSB (U),anti-RNP (U),anti-Sm (U),anti-dsDNA  (U),Total IgM (ug/ml),Total IgG (ug/ml),Urine Protein (ug/ml),GN Score
265,M,10mg,31.54,0.12,4580000,675.1875,0,74.396955,143.1473,90.82439,200,113,313,0,4,3,3,720.9540733,27.06604,17.3375,9.79787844,19.20614597,620.4971857,569.0587867,1490.872211,473.3128,9568.80038,7831.25,0
266,M,10mg,27.4,0.12,88800000,890.0625,21.67408587,208.2855,388.4057,124.4863,254,271,525,0,2,0,2,144.9152542,660.5466,15.6125,NA,NA,NA,NA,NA,827.4284,6582.54878,14293.125,0
267,M,10mg,30.65,0.19,42700000,2947.4953,0,254.10795,2491.79,71.93502,365,375,740,0,3,2,4,742.18152,120.81174,61.24375,16.93305619,32.81049936,625.3908693,625.3908693,2314.516873,376.01,8350.601223,16093.125,0
268,M,10mg,42.42,0.09,4030000,1855.1875,0,173.9163,4148.663,40.33733,228,178,406,0,3,4,2,517.9469656,312.4788,75.6375,NA,NA,NA,NA,NA,1276.882,1771.338997,8048.75,3.5
269,M,10mg,30.42,0.11,4300000,605.0625,0,161.72925,235.5084,160.5366,320,188,508,0,3,2,3,687.3428103,74.16968,13.96875,19.18362959,12.48399488,471.2789243,287.4374609,1877.558547,818.1849,7752.870076,7759.375,2
270,M,10mg,39.75,0.06,399000,310.25,0,34.04727,141.4202,46.565,0,0,0,0,1,0,0,NA,6.196604,12.975,NA,NA,NA,NA,NA,192.1293,3545.242149,13051.25,0
271,F,PBS,31.38,0.09,182000,212.4375,0.055636439,26.1762,214.6756,35.33776,0,0,0,0,0,0,0,12.85290134,139.38946,11.75625,NA,NA,NA,NA,NA,393.6152,119.0081591,4042.5,0
272,F,PBS,34.56,0.07,1270000,301.5625,0,59.72628,99.23149,21.36415,0,0,0,0,0,0,0,15.46515262,50.42568,12.2125,NA,NA,NA,NA,NA,506.2754,563.1141049,14866.875,0
273,F,PBS,33.9,0.06,622000,232.9375,0.001371459,22.28487,239.31,67.5158,0,0,0,0,0,0,0,134.8159835,21.79224,12.225,NA,NA,NA,NA,NA,375.7447,2917.105642,10408.125,0
274,F,PBS,32.14,0.07,264000,234.3125,0,32.62449,141.3255,48.74793,2,0,2,0,0,0,2,21.67673716,30.07732,15.9625,14.07322011,11.7447496,26.80581614,32.59849906,418.823643,238.2038,529.3893371,4900.625,0
